song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
0 confianza | rvfv,0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,20,23,2025-06-07,5,1,29.65,5.52,0.1535,35.0,57.0,62.0,album,False,217500,20
"1 de enero, puntacana | rels b","1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,1,45,2025-04-28,0,0,45.0,0.0,1.0,65.0,65.0,65.0,album,False,95000,13
1000cosas | lola indigo & manuel turizo,1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,2025-03-10,0,4,20.43,9.57,0.0946,65.0,65.0,72.0,single,False,239482,1
100xciento | foreign teck & eladio carrion & de la ghetto,100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,2025-05-11,11,3,28.18,8.66,0.1035,72.0,75.0,75.0,single,True,219682,1
14 febreros | quevedo,14 FEBREROS,Quevedo,2025-11-24,2025-11-27,4,9,2025-11-24,0,0,13.5,2.87,0.2582,63.0,63.0,68.0,album,True,172422,18
2am | sebastian yatra & bad gyal,2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,2025-11-27,3,0,39.5,5.72,0.1487,55.0,64.0,64.0,single,False,196426,1
2xll | jc reyes & yovngchimi & slayter,2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,2025-07-23,11,1,40.77,5.42,0.1559,61.0,69.0,71.0,single,False,178909,1
3 caídas | saiko,3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,8,13,2025-04-28,0,0,30.75,10.99,0.0834,61.0,61.0,69.0,album,False,251565,16
4 prez | cruz cafuné,4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,2,35,2024-05-28,0,0,40.5,5.5,0.1538,53.0,53.0,56.0,album,True,149484,23
4to 23 | aitana,4TO 23,Aitana,2025-07-07,2025-07-16,9,17,2025-07-07,0,1,35.0,11.19,0.0821,58.0,58.0,69.0,single,False,168320,1
50 palos | feid,50 PALOS,Feid,2024-12-02,2024-12-02,1,38,2024-12-02,0,0,38.0,0.0,1.0,0.0,0.0,0.0,album,True,167240,10
57 | karol g & feid & dfzm,57,KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,2025-11-10,0,0,17.83,11.5,0.08,69.0,69.0,85.0,single,True,298130,1
58 | jhayco,58,JHAYCO,2025-09-08,2025-09-18,8,35,2025-09-08,0,2,44.0,4.12,0.1952,56.0,56.0,68.0,album,False,287586,29
69 | nicky jam & feid,69,Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,2024-05-31,10,0,36.05,7.91,0.1123,67.0,82.0,87.0,single,True,221935,1
a 300 | jc reyes & pedro calderon,A 300,JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,148,15,2025-01-05,152,1,29.06,7.82,0.1134,73.0,77.0,77.0,single,False,169208,1
a 300 | jc reyes & pedro calderon & blacknife,A 300,JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,107,11,2025-01-14,8,2,20.71,5.36,0.1572,77.0,78.0,76.0,single,False,169208,1
a new star (2 0 2 4) | rels b,a new star (2 0 2 4),Rels B,2025-05-09,2025-05-30,16,32,2025-05-16,7,2,40.56,5.52,0.1533,74.0,75.0,76.0,album,True,142235,13
acho pr | bad bunny,ACHO PR,Bad Bunny,2024-10-14,2024-10-20,7,15,2024-10-14,0,0,30.43,12.13,0.0762,0.0,0.0,85.0,album,True,359647,22
acróstico | shakira,Acróstico,Shakira,2024-05-18,2024-07-09,53,1,2024-05-19,1,0,18.34,15.55,0.0604,81.0,83.0,92.0,single,False,170785,1
adivino | myke towers,ADIVINO,Myke Towers,2025-08-24,2025-11-16,85,10,2025-08-24,0,0,31.75,8.6,0.1042,0.0,0.0,74.0,album,True,278644,20
adivino | myke towers & bad bunny,ADIVINO,Myke Towers & Bad Bunny,2025-04-28,2025-08-23,116,1,2025-04-28,0,2,9.82,6.98,0.1253,77.0,77.0,87.0,single,True,278644,1
akureyri | aitana & sebastian yatra,Akureyri,Aitana & Sebastian Yatra,2025-04-28,2025-06-01,34,10,2025-04-28,0,1,27.88,11.41,0.0806,64.0,64.0,76.0,single,False,194400,1
alakran | feid,ALAKRAN,Feid,2024-12-02,2024-12-05,3,24,2024-12-02,0,1,39.33,10.87,0.0842,0.0,0.0,73.0,album,False,90613,10
alegría | tiago pzk,Alegría,Tiago PZK,2025-09-28,2025-10-05,8,8,2025-10-02,4,0,20.0,16.33,0.0577,73.0,73.0,74.0,album,False,165054,14
all i want for christmas is you | mariah carey,All I Want for Christmas Is You,Mariah Carey,2024-12-03,2025-01-02,20,1,2024-12-25,22,3,32.95,15.25,0.0615,95.0,100.0,100.0,album,False,241106,10
alucin | eugenio esquivel & grupo marca registrada & sebastian esquivel,Alucin,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,2025-01-13,2025-04-05,35,21,2025-03-22,68,7,39.49,6.61,0.1314,89.0,88.0,87.0,single,True,197114,1
amanece | anuel aa & haze,Amanece,Anuel AA & Haze,2024-05-25,2025-07-06,15,47,2024-06-23,29,2,48.53,1.02,0.494,84.0,85.0,81.0,single,False,190004,1
amaneció | quevedo,AMANECIÓ,Quevedo,2025-11-24,2025-11-27,4,13,2025-11-24,0,0,17.0,2.35,0.2989,62.0,62.0,68.0,album,False,255333,18
amar de nuevo | rauw alejandro,Amar De Nuevo,Rauw Alejandro,2025-11-17,2025-11-17,1,45,2025-11-17,0,0,45.0,0.0,1.0,64.0,64.0,64.0,album,True,268042,18
amargura | karol g,AMARGURA,KAROL G,2024-05-26,2025-10-31,153,16,2025-07-26,426,4,32.76,9.56,0.0947,85.0,87.0,85.0,album,True,170480,17
andando | morad,Andando,Morad,2024-05-18,2024-06-03,17,34,2024-05-19,1,0,41.18,3.36,0.2291,67.0,69.0,76.0,album,True,261713,19
antes | rvfv & edu garcía,Antes,Rvfv & Edu García,2024-05-18,2024-07-22,58,29,2024-05-18,0,2,42.0,5.43,0.1556,79.0,79.0,78.0,single,False,153684,1
antidepresivos | saiko,Antidepresivos,Saiko,2024-08-06,2024-12-19,136,13,2024-08-06,0,0,29.78,9.89,0.0918,64.0,64.0,76.0,single,False,145384,1
apaga el cel | floyymenor,APAGA EL CEL,FloyyMenor,2025-08-10,2025-09-04,14,22,2025-08-10,0,2,38.57,9.31,0.097,6.0,6.0,72.0,album,True,184806,7
apaga el cel | floyymenor & lewis somes,APAGA EL CEL,FloyyMenor & Lewis Somes,2025-05-26,2025-08-09,75,7,2025-06-12,17,1,18.76,7.31,0.1203,74.0,78.0,87.0,single,True,184806,1
apt. | rosé & bruno mars,APT.,ROSÉ & Bruno Mars,2025-10-23,2025-11-01,7,42,2025-10-30,7,1,44.43,1.59,0.386,88.0,95.0,96.0,single,False,169917,1
aqyne | aitana,AQYNE,Aitana,2024-09-27,2024-09-29,3,40,2024-09-28,1,0,40.33,0.47,0.6796,71.0,73.0,73.0,album,False,181426,15
